,w,NSE_above,NSE_all,n_data_below
0,0.1,0.1,0.11856680286091636,12510
1,0.1,0.14210526315789473,0.15795734584177334,12510
2,0.1,0.1842105263157895,0.19604758584050297,12510
3,0.1,0.22631578947368422,0.23967073454823562,12510
4,0.1,0.26842105263157895,0.2774877985065579,12510
5,0.1,0.31052631578947365,0.32075340167655453,12510
6,0.1,0.3526315789473684,0.36239840869004636,12510
7,0.1,0.39473684210526316,0.39669206465697127,12510
8,0.1,0.4368421052631579,0.4378612656222707,12510
9,0.1,0.4789473684210527,0.4764155445943332,12510
10,0.1,0.5210526315789473,0.5174965023299671,12510
11,0.1,0.5631578947368421,0.5566028476251337,12510
12,0.1,0.6052631578947368,0.5984200501434584,12510
13,0.1,0.6473684210526316,0.6378752639008803,12510
14,0.1,0.6894736842105262,0.6734705483410381,12510
15,0.1,0.731578947368421,0.7149199069827522,12510
16,0.1,0.7736842105263158,0.757052937100003,12510
17,0.1,0.8157894736842105,0.7923171337586419,12510
18,0.1,0.8578947368421053,0.8361049987630755,12510
19,0.1,0.9,0.8736803639860222,12510
20,0.14210526315789473,0.1,0.17411117108206997,12510
21,0.14210526315789473,0.14210526315789473,0.21253912712391088,12510
22,0.14210526315789473,0.1842105263157895,0.251363473047442,12510
23,0.14210526315789473,0.22631578947368422,0.289731811938866,12510
24,0.14210526315789473,0.26842105263157895,0.3282155492392016,12510
25,0.14210526315789473,0.31052631578947365,0.36679283210079394,12510
26,0.14210526315789473,0.3526315789473684,0.40561349231070454,12510
27,0.14210526315789473,0.39473684210526316,0.44423087785882087,12510
28,0.14210526315789473,0.4368421052631579,0.48276845000409285,12510
29,0.14210526315789473,0.4789473684210527,0.5213341954444841,12510
30,0.14210526315789473,0.5210526315789473,0.5598638758142008,12510
31,0.14210526315789473,0.5631578947368421,0.5983763635240169,12510
32,0.14210526315789473,0.6052631578947368,0.6369626460135609,12510
33,0.14210526315789473,0.6473684210526316,0.6756096291805018,12510
34,0.14210526315789473,0.6894736842105262,0.7141146877715487,12510
35,0.14210526315789473,0.731578947368421,0.7528294298860132,12510
36,0.14210526315789473,0.7736842105263158,0.791339297991189,12510
37,0.14210526315789473,0.8157894736842105,0.8299790097109871,12510
38,0.14210526315789473,0.8578947368421053,0.8685742018452977,12510
39,0.14210526315789473,0.9,0.9071257477476082,12510
40,0.1842105263157895,0.1,0.19882497707141367,12510
41,0.1842105263157895,0.14210526315789473,0.23614764027566126,12510
42,0.1842105263157895,0.1842105263157895,0.27376723665521663,12510
43,0.1842105263157895,0.22631578947368422,0.3113410332899226,12510
44,0.1842105263157895,0.26842105263157895,0.34868592675934906,12510
45,0.1842105263157895,0.31052631578947365,0.38602945335502103,12510
46,0.1842105263157895,0.3526315789473684,0.4235660846215771,12510
47,0.1842105263157895,0.39473684210526316,0.461061266000669,12510
48,0.1842105263157895,0.4368421052631579,0.4984763667717428,12510
49,0.1842105263157895,0.4789473684210527,0.5360687484140911,12510
50,0.1842105263157895,0.5210526315789473,0.5734496995426892,12510
51,0.1842105263157895,0.5631578947368421,0.6110547182325191,12510
52,0.1842105263157895,0.6052631578947368,0.6484876592067046,12510
53,0.1842105263157895,0.6473684210526316,0.6858621505814079,12510
54,0.1842105263157895,0.6894736842105262,0.7234130628412523,12510
55,0.1842105263157895,0.731578947368421,0.7609641131365452,12510
56,0.1842105263157895,0.7736842105263158,0.7983845688229708,12510
57,0.1842105263157895,0.8157894736842105,0.835872449591594,12510
58,0.1842105263157895,0.8578947368421053,0.8733475886246987,12510
59,0.1842105263157895,0.9,0.9107994758603715,12510
60,0.22631578947368422,0.1,0.22285970612541417,12510
61,0.22631578947368422,0.14210526315789473,0.25896501043061404,12510
62,0.22631578947368422,0.1842105263157895,0.2954001260243251,12510
63,0.22631578947368422,0.22631578947368422,0.33154482643674565,12510
64,0.22631578947368422,0.26842105263157895,0.36824119369489816,12510
65,0.22631578947368422,0.31052631578947365,0.40438839138867244,12510
66,0.22631578947368422,0.3526315789473684,0.4408995921905815,12510
67,0.22631578947368422,0.39473684210526316,0.4772645922301485,12510
68,0.22631578947368422,0.4368421052631579,0.5134738414242043,12510
69,0.22631578947368422,0.4789473684210527,0.5498928771188948,12510
70,0.22631578947368422,0.5210526315789473,0.5861574135530141,12510
71,0.22631578947368422,0.5631578947368421,0.622512763217389,12510
72,0.22631578947368422,0.6052631578947368,0.6589861426137393,12510
73,0.22631578947368422,0.6473684210526316,0.6952563267722732,12510
74,0.22631578947368422,0.6894736842105262,0.7315540998537374,12510
75,0.22631578947368422,0.731578947368421,0.7679807032077608,12510
76,0.22631578947368422,0.7736842105263158,0.8043595671254115,12510
77,0.22631578947368422,0.8157894736842105,0.8406422772249142,12510
78,0.22631578947368422,0.8578947368421053,0.8770163816065384,12510
79,0.22631578947368422,0.9,0.9133912665741216,12510
80,0.26842105263157895,0.1,0.24593989836649188,12510
81,0.26842105263157895,0.14210526315789473,0.28091662740971257,12510
82,0.26842105263157895,0.1842105263157895,0.31638878429981354,12510
83,0.26842105263157895,0.22631578947368422,0.351455157255536,12510
84,0.26842105263157895,0.26842105263157895,0.3866878741396279,12510
85,0.26842105263157895,0.31052631578947365,0.4221469611183615,12510
86,0.26842105263157895,0.3526315789473684,0.4571978790113107,12510
87,0.26842105263157895,0.39473684210526316,0.49261066658351094,12510
88,0.26842105263157895,0.4368421052631579,0.5278559843298389,12510
89,0.26842105263157895,0.4789473684210527,0.5632506678201478,12510
90,0.26842105263157895,0.5210526315789473,0.5982830362330005,12510
