,w,NSE_above,NSE_all,n_data_below
0,0.1,0.1,0.11937582244555422,12510
1,0.1,0.14210526315789473,0.16172005018910374,12510
2,0.1,0.1842105263157895,0.1973464674350015,12510
3,0.1,0.22631578947368422,0.23869755256490965,12510
4,0.1,0.26842105263157895,0.27597804833668327,12510
5,0.1,0.31052631578947365,0.31800501206504206,12510
6,0.1,0.3526315789473684,0.35511154404670475,12510
7,0.1,0.39473684210526316,0.39733476942838386,12510
8,0.1,0.4368421052631579,0.4366165524758514,12510
9,0.1,0.4789473684210527,0.47593192045596366,12510
10,0.1,0.5210526315789473,0.5158317623147104,12510
11,0.1,0.5631578947368421,0.5568331010458678,12510
12,0.1,0.6052631578947368,0.5980140341359146,12510
13,0.1,0.6473684210526316,0.6348415053664993,12510
14,0.1,0.6894736842105262,0.6745212052328317,12510
15,0.1,0.731578947368421,0.7121899191234112,12510
16,0.1,0.7736842105263158,0.7523584036163734,12510
17,0.1,0.8157894736842105,0.7967327373285974,12510
18,0.1,0.8578947368421053,0.834388331139683,12510
19,0.1,0.9,0.8675386019299902,12510
20,0.14210526315789473,0.1,0.17395718373042834,12510
21,0.14210526315789473,0.14210526315789473,0.21263943388729456,12510
22,0.14210526315789473,0.1842105263157895,0.251325456049461,12510
23,0.14210526315789473,0.22631578947368422,0.2896871634034567,12510
24,0.14210526315789473,0.26842105263157895,0.3281562078876027,12510
25,0.14210526315789473,0.31052631578947365,0.3669369516706015,12510
26,0.14210526315789473,0.3526315789473684,0.4055614079109793,12510
27,0.14210526315789473,0.39473684210526316,0.4441212523233091,12510
28,0.14210526315789473,0.4368421052631579,0.4827311809390019,12510
29,0.14210526315789473,0.4789473684210527,0.5213285421504786,12510
30,0.14210526315789473,0.5210526315789473,0.5599354075685021,12510
31,0.14210526315789473,0.5631578947368421,0.5985003247825196,12510
32,0.14210526315789473,0.6052631578947368,0.6369199639847305,12510
33,0.14210526315789473,0.6473684210526316,0.675635851429597,12510
34,0.14210526315789473,0.6894736842105262,0.7141896078376184,12510
35,0.14210526315789473,0.731578947368421,0.7528236541484181,12510
36,0.14210526315789473,0.7736842105263158,0.7914225423923446,12510
37,0.14210526315789473,0.8157894736842105,0.8299421747893883,12510
38,0.14210526315789473,0.8578947368421053,0.8685517364897535,12510
39,0.14210526315789473,0.9,0.9071538577617982,12510
40,0.1842105263157895,0.1,0.19895311984981723,12510
41,0.1842105263157895,0.14210526315789473,0.23620166026663314,12510
42,0.1842105263157895,0.1842105263157895,0.27385183138092284,12510
43,0.1842105263157895,0.22631578947368422,0.31101991359680403,12510
44,0.1842105263157895,0.26842105263157895,0.34874936492432085,12510
45,0.1842105263157895,0.31052631578947365,0.3862143717914879,12510
46,0.1842105263157895,0.3526315789473684,0.4234360489470549,12510
47,0.1842105263157895,0.39473684210526316,0.4609032856151848,12510
48,0.1842105263157895,0.4368421052631579,0.49868376723444674,12510
49,0.1842105263157895,0.4789473684210527,0.5360574145314458,12510
50,0.1842105263157895,0.5210526315789473,0.573605257680909,12510
51,0.1842105263157895,0.5631578947368421,0.610953094196074,12510
52,0.1842105263157895,0.6052631578947368,0.6484718559834123,12510
53,0.1842105263157895,0.6473684210526316,0.6859697264467077,12510
54,0.1842105263157895,0.6894736842105262,0.7234478359636682,12510
55,0.1842105263157895,0.731578947368421,0.760946744172972,12510
56,0.1842105263157895,0.7736842105263158,0.7983800853498157,12510
57,0.1842105263157895,0.8157894736842105,0.835874659884599,12510
58,0.1842105263157895,0.8578947368421053,0.8733905386130084,12510
59,0.1842105263157895,0.9,0.9108486928554241,12510
60,0.22631578947368422,0.1,0.22267836055197543,12510
61,0.22631578947368422,0.14210526315789473,0.2589272006991663,12510
62,0.22631578947368422,0.1842105263157895,0.29523129198848486,12510
63,0.22631578947368422,0.22631578947368422,0.3317639892966814,12510
64,0.22631578947368422,0.26842105263157895,0.36818503642637435,12510
65,0.22631578947368422,0.31052631578947365,0.4045360351598667,12510
66,0.22631578947368422,0.3526315789473684,0.4406805192546607,12510
67,0.22631578947368422,0.39473684210526316,0.4772918846329345,12510
68,0.22631578947368422,0.4368421052631579,0.5133845909889909,12510
69,0.22631578947368422,0.4789473684210527,0.5497281334286028,12510
70,0.22631578947368422,0.5210526315789473,0.5861635680567228,12510
71,0.22631578947368422,0.5631578947368421,0.6226807785084344,12510
72,0.22631578947368422,0.6052631578947368,0.6588549874143506,12510
73,0.22631578947368422,0.6473684210526316,0.6951873482632251,12510
74,0.22631578947368422,0.6894736842105262,0.7316658139251233,12510
75,0.22631578947368422,0.731578947368421,0.7679061015439155,12510
76,0.22631578947368422,0.7736842105263158,0.804285881755932,12510
77,0.22631578947368422,0.8157894736842105,0.8406868573033329,12510
78,0.22631578947368422,0.8578947368421053,0.8770136478795139,12510
79,0.22631578947368422,0.9,0.9134100285409484,12510
80,0.26842105263157895,0.1,0.24584491256721308,12510
81,0.26842105263157895,0.14210526315789473,0.281012054312635,12510
82,0.26842105263157895,0.1842105263157895,0.3163857384347576,12510
83,0.26842105263157895,0.22631578947368422,0.3516051743505664,12510
84,0.26842105263157895,0.26842105263157895,0.3866844182672158,12510
85,0.26842105263157895,0.31052631578947365,0.42217682488617325,12510
86,0.26842105263157895,0.3526315789473684,0.457357675616903,12510
87,0.26842105263157895,0.39473684210526316,0.4926892407017539,12510
88,0.26842105263157895,0.4368421052631579,0.5278930068582532,12510
89,0.26842105263157895,0.4789473684210527,0.5630929438148118,12510
90,0.26842105263157895,0.5210526315789473,0.5983107805812067,12510
