,w,LENSE_above,LENSE_all,LENSE_below
0,0.1,0.1,0.14003263513882647,0.5
1,0.1,0.14210526315789473,0.1788411762448895,0.5
2,0.1,0.1842105263157895,0.21740056240708105,0.5
3,0.1,0.22631578947368422,0.2528669200195407,0.5
4,0.1,0.26842105263157895,0.2905873224075253,0.5
5,0.1,0.31052631578947365,0.32831976139145225,0.5
6,0.1,0.3526315789473684,0.3668855469389105,0.5
7,0.1,0.39473684210526316,0.40396230515721887,0.5
8,0.1,0.4368421052631579,0.44343242967248775,0.5
9,0.1,0.4789473684210527,0.47937176464577713,0.5
10,0.1,0.5210526315789473,0.5172696327613102,0.5
11,0.1,0.5631578947368421,0.5556010564557414,0.5
12,0.1,0.6052631578947368,0.594229440575937,0.5
13,0.1,0.6473684210526316,0.6310234947848937,0.5
14,0.1,0.6894736842105262,0.6695576454617775,0.5
15,0.1,0.731578947368421,0.7076017427642549,0.5
16,0.1,0.7736842105263158,0.7445564943411986,0.5
17,0.1,0.8157894736842105,0.7823675379095334,0.5
18,0.1,0.8578947368421053,0.8204001551626257,0.5
19,0.1,0.9,0.8578360413322701,0.5
20,0.14210526315789473,0.1,0.15578577193514076,0.5
21,0.14210526315789473,0.14210526315789473,0.19277327024737068,0.5
22,0.14210526315789473,0.1842105263157895,0.22874779774385223,0.5
23,0.14210526315789473,0.22631578947368422,0.26534644922808126,0.5
24,0.14210526315789473,0.26842105263157895,0.3003192204807036,0.5
25,0.14210526315789473,0.31052631578947365,0.33740436679734287,0.5
26,0.14210526315789473,0.3526315789473684,0.3742119558864073,0.5
27,0.14210526315789473,0.39473684210526316,0.4092307627476345,0.5
28,0.14210526315789473,0.4368421052631579,0.44410069624371706,0.5
29,0.14210526315789473,0.4789473684210527,0.48044976571894593,0.5
30,0.14210526315789473,0.5210526315789473,0.5176714287263428,0.5
31,0.14210526315789473,0.5631578947368421,0.5528047254875823,0.5
32,0.14210526315789473,0.6052631578947368,0.5892456442940738,0.5
33,0.14210526315789473,0.6473684210526316,0.625587697781488,0.5
34,0.14210526315789473,0.6894736842105262,0.661255181322467,0.5
35,0.14210526315789473,0.731578947368421,0.6977070367489946,0.5
36,0.14210526315789473,0.7736842105263158,0.7337436240761419,0.5
37,0.14210526315789473,0.8157894736842105,0.7696639850541308,0.5
38,0.14210526315789473,0.8578947368421053,0.8066172069725095,0.5
39,0.14210526315789473,0.9,0.8421251545607397,0.5
40,0.1842105263157895,0.1,0.1754974968779094,0.5
41,0.1842105263157895,0.14210526315789473,0.2092668492713563,0.5
42,0.1842105263157895,0.1842105263157895,0.2427689309332134,0.5
43,0.1842105263157895,0.22631578947368422,0.27624831643095893,0.5
44,0.1842105263157895,0.26842105263157895,0.3125849912691321,0.5
45,0.1842105263157895,0.31052631578947365,0.3459205028538297,0.5
46,0.1842105263157895,0.3526315789473684,0.3794444009441724,0.5
47,0.1842105263157895,0.39473684210526316,0.41436290060008174,0.5
48,0.1842105263157895,0.4368421052631579,0.4485847828098216,0.5
49,0.1842105263157895,0.4789473684210527,0.48112714247602706,0.5
50,0.1842105263157895,0.5210526315789473,0.5161890067950514,0.5
51,0.1842105263157895,0.5631578947368421,0.550412773913513,0.5
52,0.1842105263157895,0.6052631578947368,0.5852332210334097,0.5
53,0.1842105263157895,0.6473684210526316,0.6197609826293028,0.5
54,0.1842105263157895,0.6894736842105262,0.6542498110521631,0.5
55,0.1842105263157895,0.731578947368421,0.6882018054744783,0.5
56,0.1842105263157895,0.7736842105263158,0.7229212032163241,0.5
57,0.1842105263157895,0.8157894736842105,0.7560913274902946,0.5
58,0.1842105263157895,0.8578947368421053,0.7894777949599773,0.5
59,0.1842105263157895,0.9,0.8250252945593459,0.5
60,0.22631578947368422,0.1,0.1890138318307536,0.5
61,0.22631578947368422,0.14210526315789473,0.22340491792479722,0.5
62,0.22631578947368422,0.1842105263157895,0.25490814179870047,0.5
63,0.22631578947368422,0.22631578947368422,0.28923021843773555,0.5
64,0.22631578947368422,0.26842105263157895,0.3211306368409693,0.5
65,0.22631578947368422,0.31052631578947365,0.35313270305209477,0.5
66,0.22631578947368422,0.3526315789473684,0.3871291108251832,0.5
67,0.22631578947368422,0.39473684210526316,0.4166810125066841,0.5
68,0.22631578947368422,0.4368421052631579,0.4501279908273029,0.5
69,0.22631578947368422,0.4789473684210527,0.48372277788052087,0.5
70,0.22631578947368422,0.5210526315789473,0.5151590851898994,0.5
71,0.22631578947368422,0.5631578947368421,0.5490244896841252,0.5
72,0.22631578947368422,0.6052631578947368,0.5801516520167063,0.5
73,0.22631578947368422,0.6473684210526316,0.6124177800994041,0.5
74,0.22631578947368422,0.6894736842105262,0.6453882865722815,0.5
75,0.22631578947368422,0.731578947368421,0.6784372767241957,0.5
76,0.22631578947368422,0.7736842105263158,0.7112659064751576,0.5
77,0.22631578947368422,0.8157894736842105,0.7419762079674357,0.5
78,0.22631578947368422,0.8578947368421053,0.7756734169712084,0.5
79,0.22631578947368422,0.9,0.8087250677817419,0.5
80,0.26842105263157895,0.1,0.20518259619863222,0.5
81,0.26842105263157895,0.14210526315789473,0.23721291827329893,0.5
82,0.26842105263157895,0.1842105263157895,0.2693479390094664,0.5
83,0.26842105263157895,0.22631578947368422,0.29890394111341856,0.5
84,0.26842105263157895,0.26842105263157895,0.33003818566593535,0.5
85,0.26842105263157895,0.31052631578947365,0.36135642009545965,0.5
86,0.26842105263157895,0.3526315789473684,0.39179557549511135,0.5
87,0.26842105263157895,0.39473684210526316,0.4229342879743816,0.5
