,model,basin,period_start,period_end,lense,nse
11052,VIC_conus,08171300,1996-10-01,1997-09-30,-0.1226582870465669,0.5514865037251597
11053,VIC_conus,08175000,1997-10-01,1998-09-30,0.888702485713398,0.28004524023494226
11054,VIC_conus,08176900,1998-10-01,1999-09-30,-0.5212487396143572,0.31491077372103105
11055,VIC_conus,08178880,1989-10-01,1999-09-30,0.9697025241778234,0.33773505452446284
11056,VIC_conus,08189500,1989-10-01,1990-09-30,-0.7009972033797307,0.37868010834965915
11057,VIC_conus,08190000,1990-10-01,1991-09-30,0.26912466908001975,0.5623960397009247
11058,VIC_conus,08190500,1991-10-01,1992-09-30,-3.7852763261454694,-392.11681418752306
11059,VIC_conus,08194200,1992-10-01,1993-09-30,0.8945684550636783,-0.24102780108947996
11060,VIC_conus,08198500,1993-10-01,1994-09-30,0.9162952228184901,-146272.7463502339
11061,VIC_conus,08202700,1994-10-01,1995-09-30,0.86739974596469,-102690.76911234698
11062,VIC_conus,08267500,1995-10-01,1996-09-30,0.9191394902609163,-0.7882409525187828
11063,VIC_conus,08269000,1996-10-01,1997-09-30,-0.2959629416350569,0.2953621585273185
11064,VIC_conus,08271000,1997-10-01,1998-09-30,0.3983145577401279,0.3472051307255817
11065,VIC_conus,08324000,1998-10-01,1999-09-30,-0.5871363523477293,-2.6170567004112377
11066,VIC_conus,08377900,1989-10-01,1999-09-30,-0.19358864898804629,0.5083125248262526
11067,VIC_conus,08378500,1989-10-01,1990-09-30,0.6276410864591769,-0.15226719917867437
11068,VIC_conus,08380500,1990-10-01,1991-09-30,-17.302992266761898,0.1056662713620693
11069,VIC_conus,09035900,1991-10-01,1992-09-30,0.7611693802706223,0.47192006314991053
11070,VIC_conus,09066000,1992-10-01,1993-09-30,0.4739939508145572,0.7713934682879791
11071,VIC_conus,09066300,1993-10-01,1994-09-30,0.37850888934525106,-0.36609383308668253
11072,VIC_conus,09081600,1994-10-01,1995-09-30,0.6412916134728297,0.8767337354166483
11073,VIC_conus,09107000,1995-10-01,1996-09-30,-1.961298203585259,-0.6049117619371192
11074,VIC_conus,09210500,1996-10-01,1997-09-30,-0.41990473506304027,0.6379144861342911
11075,VIC_conus,09223000,1997-10-01,1998-09-30,0.7949300327345469,0.8335900999388521
11076,VIC_conus,09306242,1998-10-01,1999-09-30,-246.5330821181369,-32.72865511511982
11077,VIC_conus,09312600,1989-10-01,1999-09-30,-0.18866622843004466,0.1448297747624957
11078,VIC_conus,09378170,1989-10-01,1990-09-30,0.9649439507552104,-51.27632446580473
11079,VIC_conus,09386900,1990-10-01,1991-09-30,-5.204097244633742,0.12743486459514008
11080,VIC_conus,09404450,1991-10-01,1992-09-30,0.7205526507919442,-2.791366564025267
11081,VIC_conus,09430600,1992-10-01,1993-09-30,0.19564957548295514,0.28639080276473516
11082,VIC_conus,09447800,1993-10-01,1994-09-30,-2.0033625541965585,-9.720810096164035
11083,VIC_conus,09484600,1994-10-01,1995-09-30,-11.65721492186774,-35.10519770421207
11084,VIC_conus,09494000,1995-10-01,1996-09-30,0.9199485033613879,-0.7334557727487179
11085,VIC_conus,09497980,1996-10-01,1997-09-30,0.6719732696637679,-2.908936705349886
11086,VIC_conus,09505350,1997-10-01,1998-09-30,-0.2191180267704702,0.12588120548946824
11087,VIC_conus,09505800,1998-10-01,1999-09-30,0.6046900274698832,-13.304003059959895
11088,VIC_conus,09508300,1989-10-01,1999-09-30,0.13768475898741406,0.28866610222422884
11089,VIC_conus,10234500,1989-10-01,1990-09-30,0.8794017558267959,-0.4872805052090954
11090,VIC_conus,10244950,1990-10-01,1991-09-30,0.7755908379305101,-0.29689085338612964
11091,VIC_conus,10336660,1991-10-01,1992-09-30,0.8840632376527726,-0.07284306164033971
11092,VIC_conus,11124500,1992-10-01,1993-09-30,-1.6667334495917814,0.0745316282359485
11093,VIC_conus,11141280,1993-10-01,1994-09-30,0.8424603206791423,-0.5447867763304428
11094,VIC_conus,11148900,1994-10-01,1995-09-30,-4.601810503964973,0.2959659797089671
11095,VIC_conus,11151300,1995-10-01,1996-09-30,-1.6400346768682645,-3.3713860467846413
11096,VIC_conus,11176400,1996-10-01,1997-09-30,-3.678410074206491,0.37421231942206634
11097,VIC_conus,11264500,1997-10-01,1998-09-30,-0.3979635992537356,0.31294518456368925
11098,VIC_conus,11266500,1998-10-01,1999-09-30,0.7458197260478907,0.6902288247028798
11099,VIC_conus,11284400,1989-10-01,1999-09-30,-0.6177744894324286,0.2831581487258056
11100,VIC_conus,11451100,1989-10-01,1990-09-30,0.9672147798930362,-0.34720860526449204
11101,VIC_conus,11468500,1990-10-01,1991-09-30,0.9675918652595832,0.6903400307777217
11102,VIC_conus,11473900,1991-10-01,1992-09-30,0.862213419530122,-0.29009020217904746
11103,VIC_conus,11475560,1992-10-01,1993-09-30,0.6702937111930125,0.6189702846940688
11104,VIC_conus,11476600,1993-10-01,1994-09-30,0.9350296806156548,0.6942321218813581
11105,VIC_conus,11478500,1994-10-01,1995-09-30,-0.8268041497168441,0.5319062261035201
11106,VIC_conus,11480390,1995-10-01,1996-09-30,0.4893076522899653,0.5813705073385974
11107,VIC_conus,11481200,1996-10-01,1997-09-30,-1.565143561202527,0.3875969810725207
11108,VIC_conus,11482500,1997-10-01,1998-09-30,0.5403057133668173,0.6759203065921067
11109,VIC_conus,11523200,1998-10-01,1999-09-30,0.734299906357847,0.6655832611754163
11110,VIC_conus,11528700,1989-10-01,1999-09-30,0.16668606167593059,0.5488000926198295
11111,VIC_conus,11532500,1989-10-01,1990-09-30,0.5207090373099812,0.3881450407457452
11112,VIC_conus,12010000,1990-10-01,1991-09-30,0.15536883811456215,0.46770127162627595
11113,VIC_conus,12013500,1991-10-01,1992-09-30,0.7131538960380979,0.5366855457048085
11114,VIC_conus,12020000,1992-10-01,1993-09-30,0.9617098298385415,0.5898311559561202
11115,VIC_conus,12025700,1993-10-01,1994-09-30,0.9043952846317722,0.6687938281604318
11116,VIC_conus,12041200,1994-10-01,1995-09-30,0.46418841758944274,0.49059187032690743
11117,VIC_conus,12048000,1995-10-01,1996-09-30,-4.768110744588001,-2.387000783202538
11118,VIC_conus,12054000,1996-10-01,1997-09-30,-0.6687004245556396,-0.22975119507969666
11119,VIC_conus,12056500,1997-10-01,1998-09-30,0.5558811620484136,0.41935225362635453
11120,VIC_conus,12073500,1998-10-01,1999-09-30,0.08803647586069752,0.6643683056403027
11121,VIC_conus,12082500,1989-10-01,1999-09-30,-0.09290421190296727,0.12063474008306341
11122,VIC_conus,12092000,1989-10-01,1990-09-30,0.09779184548663589,0.15648680624750322
11123,VIC_conus,12114500,1990-10-01,1991-09-30,-1.446875609776737,0.30144762980646544
11124,VIC_conus,12115000,1991-10-01,1992-09-30,0.6889739987020271,0.5400205792824988
11125,VIC_conus,12143600,1992-10-01,1993-09-30,0.7380847818599502,0.39726501871260744
11126,VIC_conus,12144000,1993-10-01,1994-09-30,0.8963375149591786,0.5410343401927764
11127,VIC_conus,12147500,1994-10-01,1995-09-30,0.40292836954981703,0.34885178694114627
11128,VIC_conus,12167000,1995-10-01,1996-09-30,-0.7328877413750661,0.24402949443026845
11129,VIC_conus,12175500,1996-10-01,1997-09-30,-0.6260535552453341,-0.5183739783147823
11130,VIC_conus,12178100,1997-10-01,1998-09-30,0.6988653817795736,0.342334128379836
11131,VIC_conus,12186000,1998-10-01,1999-09-30,0.6462458785658103,0.3997997058271475
11132,VIC_conus,12189500,1989-10-01,1999-09-30,-0.09600948031405432,-0.03622485984592094
11133,VIC_conus,12375900,1989-10-01,1990-09-30,0.6362780125333246,0.6585326786357741
11134,VIC_conus,12377150,1990-10-01,1991-09-30,0.488043181007506,0.6301144849916888
11135,VIC_conus,12381400,1991-10-01,1992-09-30,0.177595872290092,-3.09068302848228
11136,VIC_conus,12383500,1992-10-01,1993-09-30,0.6663742280089506,0.5329766026339897
11137,VIC_conus,12390700,1993-10-01,1994-09-30,0.8677748450500236,0.4545979974323686
11138,VIC_conus,12411000,1994-10-01,1995-09-30,-0.18103755917718933,-0.33394805610827727
11139,VIC_conus,12447390,1995-10-01,1996-09-30,0.5572150311354804,0.7241392535498852
11140,VIC_conus,12451000,1996-10-01,1997-09-30,-1.6144860423256797,-0.2851410823076217
11141,VIC_conus,12488500,1997-10-01,1998-09-30,0.2602361062089833,0.38887737915198317
11142,VIC_conus,13011500,1998-10-01,1999-09-30,-0.7627260526612849,0.42120706423063514
11143,VIC_conus,13011900,1989-10-01,1999-09-30,-0.14140679959052904,0.33310921310443364
11144,VIC_conus,13018300,1989-10-01,1990-09-30,0.5144116446066828,-0.05007405646771912
11145,VIC_conus,13161500,1990-10-01,1991-09-30,0.7244753087212578,-1.2636302926362224
11146,VIC_conus,13235000,1991-10-01,1992-09-30,0.8987121915828983,0.4176365927978465
11147,VIC_conus,13240000,1992-10-01,1993-09-30,0.5390445714970163,0.7015428171466033
11148,VIC_conus,13313000,1993-10-01,1994-09-30,0.8289159642236098,0.36264110606787936
11149,VIC_conus,14020000,1994-10-01,1995-09-30,-0.2546154138613439,0.3140671776723536
11150,VIC_conus,14137000,1995-10-01,1996-09-30,-3.4202605687321572,0.41276296707700566
11151,VIC_conus,14138800,1996-10-01,1997-09-30,-0.17950938888793222,0.21296727789317982
11152,VIC_conus,14138870,1997-10-01,1998-09-30,0.8047556118942656,0.4367311513468355
11153,VIC_conus,14139800,1998-10-01,1999-09-30,0.17134191071525395,0.432830065191654
11154,VIC_conus,14154500,1989-10-01,1999-09-30,0.25115987228724934,0.5339422549593438
11155,VIC_conus,14158790,1989-10-01,1990-09-30,0.38749814114780423,0.449880514762779
11156,VIC_conus,14166500,1990-10-01,1991-09-30,0.9117287761722852,0.674206184632707
11157,VIC_conus,14182500,1991-10-01,1992-09-30,0.690317959804325,0.48842800573897494
11158,VIC_conus,14185000,1992-10-01,1993-09-30,0.618152129643931,0.5549456303113903
11159,VIC_conus,14185900,1993-10-01,1994-09-30,0.7006737239285452,0.4490890140545104
11160,VIC_conus,14187000,1994-10-01,1995-09-30,0.5596269082631875,0.5491794497665982
11161,VIC_conus,14216500,1995-10-01,1996-09-30,-2.0883831414259633,0.2943960217447239
11162,VIC_conus,14222500,1996-10-01,1997-09-30,-0.4354928898802224,0.27185537325213627
11163,VIC_conus,14236200,1997-10-01,1998-09-30,0.7738803385491165,0.5392363052217766
11164,VIC_conus,14301000,1998-10-01,1999-09-30,0.31156198969033844,0.7315788541820238
11165,VIC_conus,14303200,1989-10-01,1999-09-30,0.21152183334597152,0.6033341470851621
11166,VIC_conus,14305500,1989-10-01,1990-09-30,0.6942837574871874,0.6676964187158545
11167,VIC_conus,14306340,1990-10-01,1991-09-30,0.8488285041758885,0.5830145317793672
11168,VIC_conus,14306500,1991-10-01,1992-09-30,0.9039154912400794,0.7388224111988655
11169,VIC_conus,14308990,1992-10-01,1993-09-30,0.05297514938032033,0.18447703193258014
11170,VIC_conus,14309500,1993-10-01,1994-09-30,0.911773337930373,0.48070836332700506
11171,VIC_conus,14316700,1994-10-01,1995-09-30,0.39377677590170523,0.46411428156243084
11172,VIC_conus,14325000,1995-10-01,1996-09-30,0.40168133637636394,0.6571432443700208
11173,VIC_conus,14362250,1996-10-01,1997-09-30,-8.93628304251707,0.17926268252168154
